aq_year,aq_freq,sale_year,freq,aq_n_customers,aq_rev,n_customers,rev
2014,1,2014,1,281891,1.7152215500024147E7,281891,1.71522155E7
2012,1,2012,1,217384,1.288926675002019E7,217384,1.288926675E7
2012,2,2012,2,22628,2599484.6199999475,22628,2599484.62
2012,1,2013,1,217384,1.288926675002019E7,19583,1092265.84
2013,1,2013,1,275097,1.5608436130017737E7,275097,1.560843613E7
2011,1,2011,1,153634,9924192.09000931,153634,9924192.09
2014,3,2014,3,7554,1404251.3499999125,7554,1404251.35
2014,2,2014,2,32321,3946984.3800001848,32321,3946984.38
2012,4,2012,4,2414,689294.5300000011,2414,689294.53
2012,4,2013,2,2414,689294.5300000011,306,34112.62
2013,1,2014,1,275097,1.5608436130017737E7,26756,1572588.79
2012,1,2013,4,217384,1.288926675002019E7,722,195147.8
2010,2,2010,2,9568,1288967.0399999388,9568,1288967.04
2010,2,2011,1,9568,1288967.0399999388,1444,99870.7
2012,3,2012,3,4996,860711.0299999969,4996,860711.03
2010,1,2010,1,98281,6618985.760002526,98281,6618985.76
2013,2,2013,2,31396,3483408.0899998574,31396,3483408.09
2013,2,2014,2,31396,3483408.0899998574,2657,308468.93
2010,3,2010,3,2327,484875.199999998,2327,484875.2
2010,3,2011,1,2327,484875.199999998,483,33832.4
2013,1,2014,2,275097,1.5608436130017737E7,6860,792041.6
2014,4,2014,4,4287,1434000.8499999677,4287,1434000.85
2013,3,2013,3,7469,1230180.700000004,7469,1230180.7
2011,2,2011,2,14008,1778925.339999989,14008,1778925.34
2011,4,2011,4,1273,460481.7299999998,1273,460481.73
2013,3,2014,2,7469,1230180.700000004,1029,120597.35
2010,1,2011,1,98281,6618985.760002526,6490,432874.5
2011,1,2012,1,153634,9924192.09000931,11994,710219.86
2010,1,2011,2,98281,6618985.760002526,1501,199545.68
2012,1,2013,2,217384,1.288926675002019E7,4650,511497.84
2013,2,2014,1,31396,3483408.0899998574,5737,334298.61
2012,3,2013,2,4996,860711.0299999969,555,60671.42
2013,1,2014,3,275097,1.5608436130017737E7,2108,369269.27
2011,2,2012,3,14008,1778925.339999989,350,62797.59
2012,3,2013,1,4996,860711.0299999969,1057,57424.51
2011,1,2012,2,153634,9924192.09000931,2799,326439.43
2013,4,2013,4,4828,1391728.4999999981,4828,1391728.5
2012,2,2013,1,22628,2599484.6199999475,3882,214891.02
2012,4,2013,1,2414,689294.5300000011,442,24329.63
2013,1,2014,4,275097,1.5608436130017737E7,1472,435630.83
2013,4,2014,4,4828,1391728.4999999981,1120,446819.43
2011,3,2011,3,2714,533894.499999999,2714,533894.5
2011,3,2012,1,2714,533894.499999999,537,33289.88
2013,2,2014,3,31396,3483408.0899998574,1212,209971.63
2013,4,2014,1,4828,1391728.4999999981,947,55165.71
2010,4,2010,4,1432,563956.3299999994,1432,563956.33
2010,4,2011,1,1432,563956.3299999994,278,20438.99
2012,3,2013,3,4996,860711.0299999969,272,45002.26
2013,4,2014,2,4828,1391728.4999999981,724,84274.9
2012,2,2013,2,22628,2599484.6199999475,1456,162356.43
2013,3,2014,1,7469,1230180.700000004,1564,91073.39
2011,2,2012,1,14008,1778925.339999989,2259,136017.53
2010,2,2011,3,9568,1288967.0399999388,228,45977.9
2011,1,2012,3,153634,9924192.09000931,851,149687.82
2010,2,2011,4,9568,1288967.0399999388,139,49414.08
2012,2,2013,3,22628,2599484.6199999475,553,92161.32
2013,4,2014,3,4828,1391728.4999999981,536,94955.86
2012,2,2013,4,22628,2599484.6199999475,347,91543.59
2011,3,2012,2,2714,533894.499999999,282,35004.13
2013,3,2014,3,7469,1230180.700000004,559,95349.54
2011,2,2012,2,14008,1778925.339999989,884,104684.07
2013,2,2014,4,31396,3483408.0899998574,934,286859.22
2013,3,2014,4,7469,1230180.700000004,608,189702.49
2011,2,2012,4,14008,1778925.339999989,235,75180.37
2011,1,2012,4,153634,9924192.09000931,544,154392.72
2012,3,2013,4,4996,860711.0299999969,215,57745.11
2012,4,2013,4,2414,689294.5300000011,319,99689.05
2010,1,2011,3,98281,6618985.760002526,430,86380.91
2010,2,2011,2,9568,1288967.0399999388,602,81977.88
2010,4,2011,2,1432,563956.3299999994,198,28341.01
2011,3,2012,3,2714,533894.499999999,129,24575.57
2012,4,2013,3,2414,689294.5300000011,195,31365.6
2012,1,2013,3,217384,1.288926675002019E7,1202,198296.88
2010,1,2011,4,98281,6618985.760002526,250,86313.88
2011,4,2012,2,1273,460481.7299999998,155,19662.06
2011,4,2012,4,1273,460481.7299999998,166,154774.2
2010,4,2011,3,1432,563956.3299999994,128,28069.6
2010,4,2011,4,1432,563956.3299999994,237,154922.52
2010,3,2011,4,2327,484875.199999998,129,47926.0
2011,3,2012,4,2714,533894.499999999,139,42788.12
2010,3,2011,3,2327,484875.199999998,119,25157.45
2011,4,2012,1,1273,460481.7299999998,240,15168.02
2010,3,2011,2,2327,484875.199999998,243,32595.62
2011,4,2012,3,1273,460481.7299999998,111,21044.64
